iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2014,3,21,0,6,0,0,0,1,1,1,0,0,1,0,7,1,12,0,0,92,0,-99,0,0,10,0,8,18,0,0,0,0,0,0,1,4,0,0,0,0,0,6
2012,5,28,0,6,0,0,0,1,1,1,0,1,1,0,2,3,22,0,0,153,0,80,0,1,10,0,6,7,2,0,0,0,0,0,1,3,0,0,0,0,0,2
2014,9,27,0,9,0,0,1,1,1,0,1,1,1,0,2,4,36,0,0,214,0,-99,0,0,10,0,5,5,0,0,0,0,0,0,0,4,0,-9,-9,0,-9,113
2013,4,22,0,6,0,0,0,1,1,1,0,0,0,0,1,14,84,0,0,153,0,-99,0,1,10,0,6,12,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,25
2014,8,7,0,10,0,0,0,1,1,1,0,0,1,1,3,20,0,0,0,95,0,4,0,0,10,0,6,13,4,0,4,0,0,0,0,4,0,-9,-9,0,-9,99
2013,4,12,0,11,0,0,0,1,1,1,0,0,1,1,3,4,34,0,0,42,0,-99,0,0,10,0,6,13,4,0,1,4,0,0,0,4,0,0,1,1,1,9
2012,5,11,0,8,0,0,0,1,1,1,0,1,1,0,3,14,76,0,0,0,0,-99,0,1,10,0,6,16,0,0,0,0,0,0,1,4,0,-9,-9,1,1,16
2012,8,27,0,6,0,0,0,1,1,1,0,1,1,0,2,19,99,0,0,153,0,-99,0,1,2,0,5,2,1,0,0,3,0,0,0,4,0,0,0,0,0,14
2014,6,30,0,11,0,0,0,1,1,0,1,0,1,0,2,4,34,0,0,182,0,-99,0,1,8,0,5,5,1,0,0,0,0,0,0,4,0,0,0,0,0,4
2014,6,27,0,6,0,0,0,1,1,1,0,0,1,0,3,3,23,0,0,4,0,-99,0,1,7,0,6,8,4,0,0,0,0,0,1,3,0,0,0,0,0,5
2014,9,20,0,11,0,0,0,1,1,1,0,0,1,0,3,4,29,0,0,422,1,-99,0,0,10,0,6,16,6,0,0,8,0,0,1,4,0,0,1,1,1,4
2012,8,9,0,5,0,0,0,1,1,0,1,1,1,0,3,4,34,0,0,160,0,-99,0,0,10,0,6,16,0,0,0,1,0,0,0,4,0,0,0,0,0,85
2014,5,9,0,10,0,0,0,1,1,1,0,1,1,0,3,21,108,0,0,228,0,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,4,0,-9,-9,0,-9,64
2012,8,28,1,6,0,0,0,1,1,1,0,0,1,0,6,1,10,0,0,92,0,8,0,0,10,0,5,5,0,0,0,0,0,0,0,4,1,-9,-9,0,-9,35
2012,2,5,0,6,0,0,0,1,1,0,1,0,1,0,2,4,29,0,0,153,0,-99,0,1,10,0,6,7,1,0,0,12,0,0,1,4,0,0,0,0,0,2
2012,4,9,0,11,0,0,0,1,1,1,0,1,1,0,2,15,86,0,0,147,0,-99,0,0,10,0,5,5,2,0,1,0,0,0,1,3,0,0,0,0,0,1
2014,10,3,1,11,0,0,0,1,1,1,0,1,1,0,2,14,75,0,0,147,0,100,0,0,10,0,5,5,1,0,0,0,0,0,1,3,-9,-9,-9,0,-9,81
2014,6,15,0,11,0,0,0,1,1,0,1,0,1,0,2,4,29,0,0,137,0,-99,0,1,8,0,5,5,4,0,0,13,0,0,1,4,0,0,0,0,0,71
2014,1,2,0,10,0,0,0,1,1,1,0,0,1,0,2,3,24,0,0,95,0,3,0,0,10,0,5,5,2,0,2,0,0,0,-9,4,0,-9,-9,0,-9,99
2013,7,5,0,10,0,0,0,1,1,0,1,1,0,0,2,4,36,0,0,60,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,0,4,0,-9,-9,0,-9,60
2011,11,18,0,6,0,0,0,1,1,1,0,0,1,0,3,14,79,0,0,4,1,-99,0,0,10,0,6,17,4,0,0,6,0,0,-9,4,0,-9,-9,0,-9,0
2011,3,9,0,9,0,0,0,1,1,1,0,0,1,0,3,2,20,0,0,167,0,-99,0,1,7,0,6,17,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2014,10,12,0,11,0,0,0,1,1,1,0,0,0,0,1,10,55,0,0,182,1,-99,0,0,10,0,5,5,0,0,0,1,0,0,0,4,0,0,0,0,0,4
2014,11,10,0,6,0,0,0,1,1,1,0,0,1,0,2,3,25,0,0,153,0,2,0,1,7,0,5,5,1,0,0,1,0,0,0,4,0,0,0,0,0,107
2012,5,23,0,6,0,0,0,1,1,1,0,0,1,0,6,2,15,0,0,92,0,25,0,1,5,0,5,5,1,0,0,0,0,0,0,4,1,-9,-9,0,-9,52
2014,3,29,0,10,0,0,0,1,1,0,1,0,1,1,3,4,36,0,0,110,0,1,0,1,7,0,6,15,4,0,1,4,0,0,-9,4,0,-9,-9,0,-9,110
2014,12,21,0,6,0,0,0,1,1,1,0,0,1,0,3,1,6,0,0,153,0,-99,0,1,2,0,6,16,0,0,0,0,0,0,0,4,0,0,0,0,0,55
2014,7,2,0,11,0,0,0,1,1,0,1,0,1,0,3,4,27,0,0,422,0,-99,0,0,10,0,6,11,0,0,0,0,0,0,1,3,0,0,1,1,1,4
2014,6,9,0,6,0,0,0,1,1,0,1,0,1,0,3,4,29,0,0,153,0,-99,0,1,2,0,6,12,2,0,0,3,0,0,1,4,0,-9,-9,0,-9,76
2014,4,11,1,6,0,0,0,1,1,1,0,0,1,0,6,2,15,0,0,92,0,-99,0,0,10,0,13,0,0,0,0,0,0,0,0,4,1,0,0,0,0,6
2014,12,3,0,11,0,0,0,1,1,1,0,0,1,1,3,7,47,0,0,422,0,1,0,1,8,0,6,15,4,0,1,7,0,0,1,3,0,0,1,1,1,4
2012,9,19,0,6,0,0,0,1,1,1,0,0,1,0,2,3,25,0,0,4,0,-99,0,1,2,0,5,5,10,0,9,3,0,0,0,4,0,0,0,0,0,5
