iyear,imonth,iday,extended,region,provstate,city,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,targtype1,targsubtype1,corp1,target1,natlty1,guncertain1,nperps,nperpcap,claimed,claimmode,compclaim,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,gname
2014,1,12,0,11,0,0,0,1,1,0,1,0,1,0,3,4,29,0,0,422,1,-99,0,0,10,0,6,16,0,0,0,0,0,0,1,4,0,0,1,1,1,4
2011,4,7,0,6,0,0,0,1,1,1,0,0,1,0,7,1,12,0,0,92,0,20,0,1,5,0,8,18,0,0,0,0,0,0,1,3,0,0,0,0,0,6
2014,9,15,0,11,0,0,0,1,1,0,1,0,1,0,2,4,34,0,0,182,0,-99,0,0,10,0,6,11,5,0,5,0,0,0,-9,4,0,0,0,0,0,4
2014,6,1,0,1,0,0,0,1,1,1,0,0,1,0,2,14,68,0,0,217,0,1,1,1,8,0,5,5,2,2,0,0,0,0,0,4,0,-9,-9,0,-9,8
2013,12,7,0,6,0,0,0,1,1,1,0,1,1,0,2,14,77,0,0,92,0,30,0,1,5,0,9,23,2,0,0,0,0,0,0,4,1,-9,-9,0,-9,52
2014,9,21,0,11,0,0,0,1,1,1,0,1,1,0,9,14,75,0,0,1004,0,-99,0,0,10,0,13,0,7,0,0,0,0,0,-9,4,0,-9,-9,0,-9,103
2013,7,20,0,10,0,0,0,1,1,1,0,1,1,0,3,14,67,0,0,95,0,-99,0,0,10,0,6,15,3,0,0,10,0,0,0,4,0,-9,-9,0,-9,99
2014,3,27,0,6,0,0,0,1,1,1,0,1,1,0,3,16,90,0,0,92,0,50,0,0,10,0,6,16,0,0,0,0,0,0,1,3,0,-9,-9,0,-9,52
2012,9,9,0,10,0,0,0,1,1,1,0,1,1,0,3,7,46,0,0,69,0,-99,0,1,7,0,6,15,1,0,0,1,0,0,1,3,0,0,1,1,1,17
2012,1,2,0,6,0,0,0,1,1,1,0,0,1,0,3,14,67,0,0,92,1,-99,0,0,10,0,6,7,0,0,0,3,0,0,1,3,0,-9,-9,0,-9,32
